text,labels
and i mean they've always got dessert money or they've always got you know dollars,1
"Sorry, but I have to disagree with that point the",1
indeed Interesting,0
definitely Sounds good,0
mm-hm.,0
okay.,0
What if we consider it from another angle decision making,1
I got you.,0
fine fine,0
and we prepare a lot of foils for Marvin and Bill so [noise] we have,1
right.,0
yeah where at,0
one of these people that believes that we should not be able to buy guns,1
I don’t think that’s how it works the before this,1
hmm Oh my god,0
"Wait, I just thought of something related to this maybe",1
sure Good point,0
huh Great,0
Let me interrupt you there and clarify one thing it,1
yeah and i one of the problems with the Lotus database was uh that it,1
May I interrupt for a moment to respond to that,1
um-hum yes th[at]-,0
oh i see,0
What if we consider it from another angle from how,1
thi[s]- one that you raised and i don't think i would have thought about that,1
"Sorry, but I have to disagree with that point think",1
wow Great,0
I got you.,0
that's true,1
well i uh appreciate that information about Richardson i know it was um it's got,1
good talking to you,0
sounds good.,0
i can see that there might be a reason for one but i would hate,1
i mean,1
"Hold on, we should consider another option",1
oh gosh,0
wow Fair enough,0
but we're not funding them_1 like other states either though you know it we're not,1
i don't know,1
um-hum um-hum,0
huh I got you,0
thank you [noise],0
"I want to add, we’re missing the key part",1
uh-huh yeah,0
uh-huh.,0
um-hum um-hum,0
uh what you call that layer there ozone layer,1
true You bet,0
"Just a second, can I add something quickly the a",1
"I have to interrupt, this needs clarification",1
go on.,0
kind of right,0
"Let me jump in, that's only partially true",1
dress shorts,1
yeah.,0
i mean there's uh a lot of it is uh turned out into the atmosphere,1
yeah yeah um,0
"Sorry to cut you off, we need a different approach",1
I got you.,0
and i understand now uh i don't know if it's international or just here in,1
"Wait, I just thought of something related to this a",1
"Just a second, can I add something quickly we before",1
so that's another example of the invasion because of a nonsol[icited]-,1
I see.,0
"Just a second, can I add something quickly that we",1
"Hold on, this doesn't sound right",1
totally I see,0
um no i think n[ow]- now you go to work when they're six weeks old,1
uh-huh uh-huh [laughter],0
yeah [laughter-yeah] right,0
"That’s not what I meant, that’s not how I see it",1
oh yes,0
Let me interrupt you there and clarify one thing how,1
sounds good.,0
I don’t think that’s how it works making it decision,1
bye-bye,1
"I have to interrupt, there's more to it",1
May I interrupt for a moment to respond to that,1
"Can I just say, this doesn't sound right",1
"Hold on, let me jump in for a second another",1
oh yeah,0
huh Absolutely,0
go on.,0
yeah well i i really,0
"Actually, I have a different opinion on that it should",1
huh I hear you,0
and uh yeah i- i,0
well basically what happens is you have to have some form of heat,1
"Hold on, I heard something else",1
didn't [laughter],0
because_1 when they got all this fraud and waste going on they need to just,1
"I have to interrupt, we need to pause and think",1
true Oh wow,0
true Right,0
it seems yeah,0
Let me interrupt you there and clarify one thing a,1
I think what you're saying is not entirely correct because,1
yeah so you know i think houses uh i think they hold up pretty well,1
"I want to add, that’s not how I see it",1
[laughter] we finally got a little respect nobody thought of us as a profit center,1
go on.,0
a little bit cold [laughter],0
yeah i ha[d]-,0
wow Sounds good,0
now is that place built or you're still in the makings of it,1
yeah uh-huh,0
what everything would hinge upon is it how close is it to a home environment,1
I don’t think that’s how it works how a to,1
go on.,0
wow For sure,0
[laughter] well,0
"Hold on, let me jump in for a second the",1
sounds good.,0
I see.,0
"Sorry but I have a point, there's more to it",1
i'm a mathematician,1
but that's uh,0
swimming weather and uh,0
huh Fair enough,0
totally Alright then,0
Let me interrupt you there and clarify one thing from,1
oh okay right i work for TI so,0
uh-huh.,0
indeed You're right,0
true Totally,0
yeah yeah,0
oh well,0
"Let me jump in, I heard something else",1
how's that,1
okay.,0
definitely Cool,0
indeed I know,0
totally.,0
and and uh that that then ends up being the the most common example for,1
"I think it's important to note, that’s not how I see it",1
totally.,0
true Okay,0
"I think it's important to note, we’re missing the key part",1
yeah somebody in South Carolina told me about him,1
oh goodness,0
that's the way to do it,1
May I interrupt for a moment to respond to that,1
indeed Uh-huh,0
totally Cool,0
"Just a second, can I add something quickly from because",1
uh Of course,0
oh.,0
well i work in uh corporate control so we have to dress kind of nice,1
and they're illegal [laughter-so] i don't think it would do us any good to outlaw,1
I see.,0
um-hum um-hum [noise],0
ah.,0
uh well i was i was in a uh private consulting firm so um and,1
"Wait, I just thought of something related to this making",1
from from personal parties or from these uh phone answer[ing]- phone uh commercial things,1
uh So true,0
i mean that's a real attractive option if you have the the technology for it,1
yeah yeah,0
sounds good.,0
hmm Totally,0
got it.,0
uh You're right,0
yeah i've done some of that,0
I don’t think that’s how it works we how this,1
yes i know because_1,1
mm-hm.,0
i'd like to be able to wear those here today it's eighty eight degrees so,1
sure.,0
well they're already talking about freedom of choice you know for schools that's an idea,1
[laughter] shaking the scorpions out of their shoes [laughter],1
and for n[othing]- uh for nothing [vocalized-noise] too,1
[laughter] so i'm not sure what the prices are like now uh i know that,1
indeed I see,0
sure Oh wow,0
incorrect things that's even worse uh or if my call rate of of eight t[o]-,1
sure Cool,0
hmm Uh-huh,0
"Wait, I just thought of something related to this way",1
oh it's been nice talking to you and i guess we just hang up huh,1
uh-huh well now there was at one time,0
"Sorry, but I have to disagree with that point making",1
exactly.,0
yeah that i think that's,0
alright.,0
that is that one that you were talking about,1
sure.,0
i know when my mother was a you know going into the work force there,1
uh I agree,0
What if we consider it from another angle think that,1
um-hum um-hum,0
uh but uh i guess i'm i'm a little encouraged with home prices i i'm,1
wow Sure,0
doesn't sound like a lot of fun to me uh my friend said that the,1
uh So true,0
What if we consider it from another angle think another,1
definitely Uh-huh,0
sounds good.,0
I think what you're saying is not entirely correct because,1
i don't know that i think has,1
um let's see what did i wear to work today um actually i wore corduroy,1
oh you don't [laughter],0
Arch how are you doing tonight,1
yeah yeah so i'm you know like right now today was in about you know,1
sure Fair enough,0
true I got you,0
I got you.,0
"Sorry, but I have to disagree with that point this",1
mhm.,0
real true that uh,0
definitely Yeah,0
yeah i kind of think maybe in time that you know you'll go by social,1
"Wait, I just thought of something related to this how",1
"Sorry but I have a point, I heard something else",1
hmm Fair enough,0
I don’t think that’s how it works about we making,1
[laughter] instead of stop,1
hmm Right,0
go on.,0
Great,0
"In my opinion, it happened differently",1
I think what you're saying is not entirely correct because,1
I don’t think that’s how it works how the should,1
oh that's miserable,1
you know full cash price for it i mean you know you can't tell what,1
uh the question is would they,0
"Actually, I have a different opinion on that should should",1
but this uh bacteria had uh penetrated their entire,1
yes um-hum,0
um-hum um-hum,0
"Sorry, but I have to disagree with that point before",1
huh Oh my god,0
"Can I just say, you might be mistaken here",1
I see.,0
yes my grandfather was a builder and so my parents always lived in houses that,1
when i go camping i don't i don't like to rough it i like to,1
yeah [noise],0
indeed Cool,0
and that hacker just has to get into in touch with a sneak thief and,1
exactly.,0
yeah is is fairly fami[liar]- the thing that i thought was interesting was that the,1
i don't know how much clearer it can be it's a red sign with silver,1
"Just a second, can I add something quickly how to",1
oh yeah,0
you know yeah sometimes i worry about,0
"Sorry but I have a point, we need to pause and think",1
alright.,0
I think what you're saying is not entirely correct because,1
sure Exactly,0
indeed That's right,0
mhm.,0
"Hold on, let me jump in for a second making",1
Oh wow,0
"Wait a second, you might be mistaken here",1
um-hum um-hum,0
What if we consider it from another angle we resolve,1
in the process of expanding it goes through cooler coils and whatnot and it becomes,1
oh yeah,0
huh You bet,0
I think what you're saying is not entirely correct because,1
um-hum um,0
For sure,0
true For sure,0
um-hum -[tha]t's right,0
May I interrupt for a moment to respond to that,1
do you do you listen to Gary Cohill Cohi[ll]- is uh you know who he,1
yes yes you'd b[e]- more harmed or something yeah,1
yes.,0
yeah ours were ours were different i guess it seemed like th[ey]- they were much,1
and then,1
true I got you,0
yeah exactly exactly,0
"I want to add, we need a different approach",1
"agree, I",0
uh Good point,0
totally You bet,0
right so and we uh,0
um-hum yeah,0
yeah Ninja Turtles got to have those,0
yeah yeah i'm down in Houston,0
they their attire is always the same you know suits or slacks you know jeans,1
yeah i think it's getting better not worse,1
uh Sure,0
go together y[eah]-,0
and uh,0
"Before you go on, we should consider another option",1
huh I see,0
indeed Of course,0
"Actually, I have a different opinion on that that resolve",1
wow Cool,0
yeah that's it,0
I got you.,0
uh Tom Jones our environmental corporate environmental guy's handling the project,1
[laughter-yeah] [laughter-yes],0
understood.,0
totally Absolutely,0
"Wait a second, we’ve already discussed that",1
"Actually, I have a different opinion on that that to",1
huh Right,0
"good, Sounds",0
yeah he's he's about my favorite,0
right right,0
I know.,0
huh Okay,0
that's [laughter-that's] [laughter-right],0
wow Uh yeah,0
[laughter-yeah] that's right [laughter],0
I see.,0
true Yeah,0
"I disagree because, we’ve already discussed that",1
wow Exactly,0
hmm Oh my god,0
"Sorry, but I have to disagree with that point this",1
uh-huh.,0
"Before you go on, this needs clarification",1
i've often wondered about the LA now that's supposed to be about the worst c[ity]-,1
oh yeah,0
i'm not totally i'm not,1
Let me interrupt you there and clarify one thing should,1
uh Interesting,0
um-hum um-hum,0
"Sorry, but I have to disagree with that point that",1
I don’t think that’s how it works from a that,1
oh.,0
one thing and if privacy is something that comes into your private state and extracts,1
Right,0
and sh[e]- you know we could send her messages and and she kept in touch,1
and i think Louisiana does i'm not sure but i there's not very many of,1
"Wait a second, that's only partially true",1
hi um,0
oh uh-huh,0
okay.,0
uh Uh yeah,0
"Actually, I have a different opinion on that resolve that",1
"I disagree because, we’re missing the key part",1
oh yeah,0
definitely Interesting,0
uh I know,0
like the bumper sticker [laughter] it's true yeah,1
mhm.,0
dust storms whoa [laughter] yeah,0
got it.,0
sure Alright then,0
that's,1
so it wouldn't be so bad [noise] all right so you think,1
"Sorry, but I have to disagree with that point it",1
uh I agree,0
y[eah]- yeah but there's really no written rule i guess they couldn't write that down,1
{alrighty} uh i guess our topic today is air pollution and we are to just,1
What if we consider it from another angle making this,1
hmm Got it,0
mm-hm.,0
no [laughter],0
"Just a second, can I add something quickly think about",1
yeah thi[s]-,0
jeez well that's scary,1
uh Fair enough,0
indeed No doubt,0
i think the only way they're gonna really get to the problem and solve it,1
sure.,0
I don’t think that’s how it works a the think,1
oh [laughter-God],0
um-hum that'd be tough,1
is it,1
uh y[eah]- yeah you know i'm wondering uh course uh Freon is uh is uh,1
yeah it is oh well is that you got anything else to say i don't,1
uh right,0
definitely You bet,0
um-hum hum,0
"I disagree because, I heard something else",1
oh sure yeah,0
inherent politeness on the phone even with a machine i find people being kind of,1
[laughter] yes [laughter],0
i know at least in the medical field it seems like they've come out with,1
sure Absolutely,0
okay.,0
no i haven't been camping since i was about sixteen,1
uh You bet,0
oh he does,1
hmm Yeah,0
I hear you.,0
okay all right hey bye-bye,1
yeah.,0
"Just a second, can I add something quickly think this",1
wow Oh my god,0
um-hum well now here's another thing diesels,1
huh Okay,0
normally when they call you're either in the shower or you in the middle of,1
[disea[l]-/diesel] uh diesel engine that was converted from a gas engine,1
"Can I just say, we’re missing the key part",1
totally Okay,0
where you do know about them and possibly things that invade that second type of,1
that's true i agree with that um i- i noticed yesterday in the paper something,1
Let me interrupt you there and clarify one thing maybe,1
oh that's nice [laughter],0
huh Uh-huh,0
May I interrupt for a moment to respond to that,1
May I interrupt for a moment to respond to that,1
"Let’s not forget, you’re ignoring some facts",1
have you ever got one of those calls that's either generated by a computer or,1
you too bye,1
is that right well,1
that's [laughter] that's one of those interesting pieces of trivia that somebody said did you,1
"Sorry, but I have to disagree with that point before",1
