filepath,labels
./dataset/train/label6/0044.wav,6
./dataset/train/label0/0030.wav,0
./dataset/train/label1/0030.wav,1
./dataset/train/label1/0007.wav,1
./dataset/train/label4/0024.wav,4
./dataset/train/label3/0005.wav,3
./dataset/train/label6/0032.wav,6
./dataset/train/label6/0023.wav,6
./dataset/train/label6/0048.wav,6
./dataset/train/label5/0032.wav,5
./dataset/train/label6/0018.wav,6
./dataset/train/label1/0001.wav,1
./dataset/train/label1/0004.wav,1
./dataset/train/label1/0029.wav,1
./dataset/train/label1/0040.wav,1
./dataset/train/label2/0016.wav,2
./dataset/train/label0/0014.wav,0
./dataset/train/label1/0026.wav,1
./dataset/train/label5/0010.wav,5
./dataset/train/label1/0023.wav,1
./dataset/train/label6/0041.wav,6
./dataset/train/label6/0046.wav,6
./dataset/train/label4/0031.wav,4
./dataset/train/label5/0029.wav,5
./dataset/train/label6/0008.wav,6
./dataset/train/label6/0012.wav,6
./dataset/train/label5/0012.wav,5
./dataset/train/label6/0009.wav,6
./dataset/train/label1/0039.wav,1
./dataset/train/label4/0016.wav,4
./dataset/train/label1/0050.wav,1
./dataset/train/label5/0043.wav,5
./dataset/train/label2/0010.wav,2
./dataset/train/label6/0040.wav,6
./dataset/train/label4/0002.wav,4
./dataset/train/label2/0034.wav,2
./dataset/train/label1/0012.wav,1
./dataset/train/label6/0029.wav,6
./dataset/train/label1/0044.wav,1
./dataset/train/label0/0021.wav,0
./dataset/train/label5/0030.wav,5
./dataset/train/label0/0027.wav,0
./dataset/train/label3/0013.wav,3
./dataset/train/label4/0005.wav,4
./dataset/train/label1/0017.wav,1
./dataset/train/label6/0003.wav,6
./dataset/train/label6/0027.wav,6
./dataset/train/label2/0020.wav,2
./dataset/train/label6/0016.wav,6
./dataset/train/label4/0037.wav,4
./dataset/train/label5/0007.wav,5
./dataset/train/label2/0015.wav,2
./dataset/train/label3/0037.wav,3
./dataset/train/label6/0043.wav,6
./dataset/train/label1/0010.wav,1
./dataset/train/label3/0003.wav,3
./dataset/train/label6/0049.wav,6
./dataset/train/label0/0006.wav,0
./dataset/train/label6/0019.wav,6
./dataset/train/label5/0037.wav,5
./dataset/train/label4/0039.wav,4
./dataset/train/label3/0024.wav,3
./dataset/train/label6/0020.wav,6
./dataset/train/label5/0004.wav,5
./dataset/train/label0/0022.wav,0
./dataset/train/label1/0016.wav,1
./dataset/train/label3/0002.wav,3
./dataset/train/label6/0050.wav,6
./dataset/train/label2/0030.wav,2
./dataset/train/label2/0001.wav,2
./dataset/train/label1/0018.wav,1
./dataset/train/label3/0010.wav,3
./dataset/train/label4/0026.wav,4
./dataset/train/label0/0028.wav,0
./dataset/train/label5/0038.wav,5
./dataset/train/label2/0004.wav,2
./dataset/train/label3/0025.wav,3
./dataset/train/label2/0025.wav,2
./dataset/train/label2/0042.wav,2
./dataset/train/label6/0015.wav,6
./dataset/train/label4/0009.wav,4
./dataset/train/label0/0007.wav,0
./dataset/train/label3/0032.wav,3
./dataset/train/label2/0041.wav,2
./dataset/train/label3/0015.wav,3
./dataset/train/label6/0021.wav,6
./dataset/train/label4/0017.wav,4
./dataset/train/label5/0006.wav,5
./dataset/train/label1/0045.wav,1
./dataset/train/label3/0022.wav,3
./dataset/train/label0/0025.wav,0
./dataset/train/label5/0045.wav,5
./dataset/train/label6/0011.wav,6
./dataset/train/label5/0003.wav,5
./dataset/train/label6/0030.wav,6
./dataset/train/label2/0038.wav,2
./dataset/train/label0/0010.wav,0
./dataset/train/label6/0010.wav,6
./dataset/train/label0/0018.wav,0
./dataset/train/label1/0021.wav,1
./dataset/train/label5/0002.wav,5
./dataset/train/label0/0015.wav,0
./dataset/train/label1/0043.wav,1
./dataset/train/label1/0049.wav,1
./dataset/train/label0/0024.wav,0
./dataset/train/label4/0028.wav,4
./dataset/train/label3/0004.wav,3
./dataset/train/label0/0013.wav,0
./dataset/train/label6/0031.wav,6
./dataset/train/label5/0048.wav,5
./dataset/train/label1/0037.wav,1
./dataset/train/label4/0006.wav,4
./dataset/train/label2/0013.wav,2
./dataset/train/label2/0007.wav,2
./dataset/train/label4/0015.wav,4
./dataset/train/label2/0026.wav,2
./dataset/train/label3/0049.wav,3
./dataset/train/label1/0006.wav,1
./dataset/train/label3/0048.wav,3
./dataset/train/label4/0010.wav,4
./dataset/train/label3/0027.wav,3
./dataset/train/label3/0038.wav,3
./dataset/train/label3/0035.wav,3
./dataset/train/label2/0031.wav,2
./dataset/train/label4/0019.wav,4
./dataset/train/label5/0021.wav,5
./dataset/train/label3/0043.wav,3
./dataset/train/label6/0004.wav,6
./dataset/train/label4/0033.wav,4
./dataset/train/label6/0007.wav,6
./dataset/train/label1/0041.wav,1
./dataset/train/label2/0046.wav,2
./dataset/train/label0/0011.wav,0
./dataset/train/label4/0022.wav,4
./dataset/train/label1/0022.wav,1
./dataset/train/label3/0011.wav,3
./dataset/train/label3/0050.wav,3
./dataset/train/label5/0005.wav,5
./dataset/train/label1/0034.wav,1
./dataset/train/label0/0008.wav,0
./dataset/train/label5/0009.wav,5
./dataset/train/label3/0017.wav,3
./dataset/train/label4/0025.wav,4
./dataset/train/label2/0003.wav,2
./dataset/train/label2/0018.wav,2
./dataset/train/label6/0039.wav,6
./dataset/train/label5/0036.wav,5
./dataset/train/label1/0020.wav,1
./dataset/train/label5/0011.wav,5
./dataset/train/label0/0003.wav,0
./dataset/train/label5/0033.wav,5
./dataset/train/label1/0028.wav,1
./dataset/train/label5/0031.wav,5
./dataset/train/label4/0027.wav,4
./dataset/train/label5/0017.wav,5
./dataset/train/label2/0009.wav,2
./dataset/train/label3/0031.wav,3
./dataset/train/label4/0008.wav,4
./dataset/train/label1/0033.wav,1
./dataset/train/label6/0002.wav,6
./dataset/train/label1/0035.wav,1
./dataset/train/label3/0008.wav,3
./dataset/train/label2/0040.wav,2
./dataset/train/label6/0042.wav,6
./dataset/train/label5/0040.wav,5
./dataset/train/label2/0019.wav,2
./dataset/train/label2/0011.wav,2
./dataset/train/label0/0004.wav,0
./dataset/train/label3/0034.wav,3
./dataset/train/label3/0020.wav,3
./dataset/train/label3/0046.wav,3
./dataset/train/label4/0045.wav,4
./dataset/train/label5/0046.wav,5
./dataset/train/label1/0048.wav,1
./dataset/train/label1/0014.wav,1
./dataset/train/label3/0016.wav,3
./dataset/train/label1/0013.wav,1
./dataset/train/label3/0012.wav,3
./dataset/train/label2/0047.wav,2
./dataset/train/label2/0045.wav,2
./dataset/train/label0/0012.wav,0
./dataset/train/label3/0009.wav,3
./dataset/train/label2/0039.wav,2
./dataset/train/label4/0043.wav,4
./dataset/train/label2/0012.wav,2
./dataset/train/label2/0022.wav,2
./dataset/train/label5/0024.wav,5
./dataset/train/label5/0026.wav,5
./dataset/train/label2/0029.wav,2
./dataset/train/label5/0041.wav,5
./dataset/train/label4/0014.wav,4
./dataset/train/label3/0040.wav,3
./dataset/train/label2/0021.wav,2
./dataset/train/label1/0046.wav,1
./dataset/train/label5/0035.wav,5
./dataset/train/label2/0033.wav,2
./dataset/train/label5/0013.wav,5
./dataset/train/label5/0001.wav,5
./dataset/train/label1/0003.wav,1
./dataset/train/label2/0044.wav,2
./dataset/train/label0/0016.wav,0
./dataset/train/label3/0006.wav,3
./dataset/train/label4/0041.wav,4
./dataset/train/label1/0019.wav,1
./dataset/train/label2/0050.wav,2
./dataset/train/label2/0023.wav,2
./dataset/train/label6/0038.wav,6
